ImageId,Xmax,Ymin
6120_2_2,0.009188,-0.00904
6120_2_0,0.009188,-0.00904
6010_4_2,0.009169,-0.009031
6010_1_2,0.009169,-0.009042
6150_2_3,0.00918785084174,-0.00903985324438
6100_2_3,0.0091557,-0.0090423
6100_2_2,0.009156,-0.009042
6110_1_2,0.00916890144189,-0.00903990282851
6110_3_1,0.00916940139956,-0.00903939570844
6070_2_3,0.0090126,-0.009045
6040_2_2,0.009158,-0.009043
6140_3_1,0.00916840849034,-0.00904040278717
6040_1_0,0.009156,-0.009042
6140_1_2,0.009169,-0.00904
6040_4_4,0.0091449,-0.0090342
6010_4_4,0.009171,-0.009042
6110_4_0,0.009169,-0.00904
6060_2_3,0.009188,-0.00904
6090_2_0,0.009161,-0.009042
6040_1_3,0.009156,-0.009042
6100_1_3,0.009156,-0.009042
6170_4_1,0.00916931787837,-0.00903960155717
6170_2_4,0.00915030000001,-0.00904230000001
6170_0_4,0.00915,-0.009042
6160_2_1,0.009161,-0.009042
